time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1637708400,1.33734,1.33811,1.33731,1.33748,-1.1673342822386793e+308,-8.366142736252532e+307,NaN,-1.1673342822386793e+308,NaN,NaN,-1.1673342822386793e+308,-8.366142736252532e+307,NaN,-1.1673342822386793e+308,NaN,NaN
1637712000,1.33748,1.33802,1.33739,1.33739,NaN,6.556462304339818e+307,NaN,NaN,NaN,NaN,NaN,6.556462304339818e+307,NaN,NaN,NaN,NaN
1637715600,1.33739,1.33823,1.33669,1.33809,8.2501346105941845e+307,-9.845778627185035e+307,NaN,NaN,NaN,NaN,8.2501346105941845e+307,-9.845778627185035e+307,NaN,NaN,NaN,NaN
1637719200,1.33809,1.3383,1.33748,1.33748,-6.465547897682589e+307,1.1405293836911962e+308,NaN,-6.465547897682589e+307,NaN,NaN,-6.465547897682589e+307,1.1405293836911962e+308,NaN,-6.465547897682589e+307,NaN,NaN
1637722800,1.33748,1.3377999999999999,1.3369199999999999,1.33699,9.709253305995215e+307,-1.4478335657317744e+308,9.709253305995215e+307,NaN,NaN,NaN,9.709253305995215e+307,-1.4478335657317744e+308,9.709253305995215e+307,NaN,NaN,NaN
1637726400,1.33699,1.33752,1.33696,1.3375,-1.1247143683093822e+308,NaN,NaN,-1.1247143683093822e+308,NaN,NaN,-1.1247143683093822e+308,NaN,NaN,-1.1247143683093822e+308,NaN,NaN
1637730000,1.3375,1.33801,1.33726,1.338,1.4277573533695384e+308,9.617356837621281e+307,1.4277573533695384e+308,NaN,NaN,NaN,1.4277573533695384e+308,9.617356837621281e+307,1.4277573533695384e+308,NaN,NaN,NaN
1637733600,1.338,1.33867,1.33755,1.33843,NaN,-7.537026268989224e+307,NaN,NaN,NaN,NaN,NaN,-7.537026268989224e+307,NaN,NaN,NaN,NaN
1637737200,1.33843,1.33901,1.3369,1.33713,-9.48399890007554e+307,1.1318282437561946e+308,NaN,NaN,NaN,NaN,-9.48399890007554e+307,1.1318282437561946e+308,NaN,NaN,NaN,NaN
1637740800,1.33713,1.33839,1.33612,1.33636,7.432514988454366e+307,-1.3111033857000428e+308,7.432514988454366e+307,NaN,NaN,NaN,7.432514988454366e+307,-1.3111033857000428e+308,7.432514988454366e+307,NaN,NaN,NaN
1637744400,1.33636,1.33791,1.33519,1.33546,-1.1161338816989499e+308,NaN,NaN,-1.1161338816989499e+308,NaN,NaN,-1.1161338816989499e+308,NaN,NaN,-1.1161338816989499e+308,NaN,NaN
1637748000,1.33546,1.3369199999999999,1.33519,1.33551,1.2929231261569804e+308,9.266222696455927e+307,1.2929231261569804e+308,NaN,NaN,NaN,1.2929231261569804e+308,9.266222696455927e+307,1.2929231261569804e+308,NaN,NaN,NaN
1637751600,1.33551,1.33741,1.33538,1.33706,NaN,-7.261845957955158e+307,NaN,NaN,NaN,NaN,NaN,-7.261845957955158e+307,NaN,NaN,NaN,NaN
1637755200,1.33706,1.33792,1.33508,1.3351,-9.13773371881864e+307,1.090504671694963e+308,NaN,NaN,NaN,NaN,-9.13773371881864e+307,1.090504671694963e+308,NaN,NaN,NaN,NaN
1637758800,1.3351,1.33602,1.33401,1.33532,7.161150432554714e+307,-1.2632343953849616e+308,7.161150432554714e+307,NaN,NaN,NaN,7.161150432554714e+307,-1.2632343953849616e+308,7.161150432554714e+307,NaN,NaN,NaN
1637762400,1.33532,1.33582,1.3328,1.33382,-1.0753833180469046e+308,NaN,NaN,-1.0753833180469046e+308,NaN,NaN,-1.0753833180469046e+308,NaN,NaN,-1.0753833180469046e+308,NaN,NaN
1637766000,1.33382,1.3348,1.3324799999999999,1.33302,1.2457179055167272e+308,8.927908625001371e+307,1.2457179055167272e+308,NaN,NaN,NaN,1.2457179055167272e+308,8.927908625001371e+307,1.2457179055167272e+308,NaN,NaN,NaN
1637769600,1.33302,1.3338,1.3323099999999999,1.33308,NaN,-6.996712607204664e+307,NaN,NaN,NaN,NaN,NaN,-6.996712607204664e+307,NaN,NaN,NaN,NaN
1637773200,1.33308,1.33311,1.3319,1.33233,-8.804110839296919e+307,1.050689842340339e+308,NaN,NaN,NaN,NaN,-8.804110839296919e+307,1.050689842340339e+308,NaN,NaN,NaN,NaN
1637776800,1.33233,1.33263,1.33199,1.33241,6.899693521955881e+307,-1.2171131240207867e+308,6.899693521955881e+307,NaN,NaN,NaN,6.899693521955881e+307,-1.2171131240207867e+308,6.899693521955881e+307,NaN,NaN,NaN
1637780400,1.33241,1.33349,1.33157,1.33209,-1.0361205762997298e+308,NaN,NaN,-1.0361205762997298e+308,NaN,NaN,-1.0361205762997298e+308,NaN,NaN,-1.0361205762997298e+308,NaN,NaN
1637784000,1.33209,1.33333,1.3319,1.33306,1.2002361692899044e+308,8.60194655658986e+307,1.2002361692899044e+308,NaN,NaN,NaN,1.2002361692899044e+308,8.60194655658986e+307,1.2002361692899044e+308,NaN,NaN,NaN
1637787600,1.33306,1.33312,1.33217,1.33245,NaN,-6.741259397576302e+307,NaN,NaN,NaN,NaN,NaN,-6.741259397576302e+307,NaN,NaN,NaN,NaN
1637791200,1.33245,1.33274,1.3318699999999999,1.33269,-8.482668685233543e+307,1.0123286707990954e+308,NaN,NaN,NaN,NaN,-8.482668685233543e+307,1.0123286707990954e+308,NaN,NaN,NaN,NaN
1637794800,1.33269,1.33307,1.33264,1.33298,6.647782523950802e+307,-1.1726757615812092e+308,6.647782523950802e+307,NaN,NaN,NaN,6.647782523950802e+307,-1.1726757615812092e+308,6.647782523950802e+307,NaN,NaN,NaN
